url_code,time_utc,type,caption,likes,comments
Cyp_kg-tVj0,2023-10-21 09:39:32,GraphSidecar,Take a look back at some of the stories you might have missed this week.,19403,625
CyoJJcUuVvB,2023-10-20 16:25:29,GraphVideo,"The Gaza Strip, one of the most densely populated areas in the world, has a population of over 2 million people. It’s bordered by Egypt, Israel, and the Mediterranean sea. It has been under a blockade enforced by Israel and Egypt since 2007 when Hamas took over Gaza.

#gaza #gazapalestine #gazacity #palestine #maps #googlemaps #googleearth #countries #cities #biggestcities #nyc #delhi #mexicocity #beijing #london #lagos #jakarta",26132,1561
CyoBQHSOoVV,2023-10-20 15:16:35,GraphVideo,"Hamas gunmen took at least 203 hostages and killed more than 1,400 people during an October 7 attack on communities and military targets in Israel.

Israel responded by imposing a “total siege” on Gaza and launching air-strikes, killing more than 4,000 people according to Palestinian officials in Gaza, which has been governed by Hamas since 2007.

On Friday October 20 the Israeli Defence Forces said more than 20 children were among the hostages. It said it believed “the majority” of hostages were still alive.

Among those believed to be captives in Gaza are festival-attendees, children, elderly people and soldiers.

Many families have spoken out to raise awareness about their missing loved ones, while the identities of many of the hostages have not been revealed.

Many of the hostages have dual citizenship or are foreigners. The US, Germany, Thailand, Mexico, Brazil, Nepal and the UK have all reported that their citizens are missing, kidnapped, or killed.

The United States has sent a team of Special Operations forces to Israel to help with intelligence to locate the hostages, while Qatar has served as a mediator in the negotiations between Hamas, Israel, and Israel’s allies.

A ground operation into the densely populated Gaza strip to rescue the hostages could risk the lives of both those being held captive and the military, according to US and Israeli military sources. Israel believes the hostages are being held in tunnel systems beneath Gaza created by Hamas, which means it is difficult to determine their location, and they could potentially be moved. 

#gaza #israel #hamas #israelihostages #israelhostage #hamaskidnapping #palestine",5962,1907
Cyncm2fM80k,2023-10-20 09:55:32,GraphSidecar,"Rivers in Brazil’s Amazon rainforest have fallen to their lowest level in 121 years. 

The historic drought has impacted an estimated 481,000 people as of Monday October 16, according to the civil defense agency in Amazonas state. 

The port of Manaus, where the Rio Negro and Amazon River meet, recorded water levels of just 13.59 meters (44.6 feet) on October 16, the lowest since records began in 1902. 

The drought has contributed to thousands of wildfires, leaving the city of Manaus, the Amazonas state capital home to one million people, with the second worst air quality in the world. 

Amazonas recorded 2,770 wildfires so far this dry season, the highest ever recorded according to local media. 

Travelling by river is often the only way to reach remote areas of the Amazon, and as water levels drop some jungle communities have been cut off and are unable to access food, medicine and water supplies. 

Nelson Mendonca, a community leader in Santa Helena do Ingles, told Reuters that while canoes can still transport goods to some remote communities, many supplies have been carried on foot or by tractor. 

“It’s not very good for us, because we’re practically isolated,” he said.

At least 100 endangered pink river dolphins have also died in recent weeks, likely due to the drought and high water temperature. 

Brazil’s science ministry has blamed the drought on this year’s El Niño weather phenomenon, and says it expects the drought to last until December when El Niño’s effects peak.",34321,451
Cyl00KBvABe,2023-10-19 18:48:49,GraphVideo,"Members of Jewish advocacy groups protested on Capitol Hill, Washington DC, on Wednesday October 18, leading to hundreds of arrests.

Activists from groups such as Jewish Voice for Peace and If Not Now rallied at the Capitol, calling for a ceasefire in the Gaza Strip. Protesters included rabbis, students, and others who wore T-shirts with the words “Jews for Cease Fire” on them.

Rep. Marjorie Taylor Greene, who has long supported Trump and Jan. 6 insurrectionists facing prison time, went live on Twitter to say “we have an insurrection happening,” in response to thousands sitting on the floor and chanting at the protest. If Not Now responded, saying “You wouldn't know what an insurrection was, even if you helped plan one—oh wait.”

“As the descendants of a people who have a survived a genocide, we refuse to stand idly by while a genocide unfolds in real time,” Jay Saper, a protester said. 

“There has not been a moment in my lifetime where it has felt more urgent for our Jewish community to rise up, to speak out, to bring our grief, fear, pain and outrage — and mobilize with everything we have,” Stefanie Fox, Executive Director of Jewish Voice for Peace added. 

This week, President Joe Biden flew to Israel to meet with the country’s prime minister Benjamin Netanyahu, saying he would support their efforts as Israel launched an aerial bombardment of Gaza ahead of a potential ground offensive.

Israel has cut off supplies of electricity and water in Gaza after a large-scale attack by Hamas militants on Oct. 7 that killed more than 1,400 people. The Gaza health ministry says almost 3,500 people have been killed in Gaza since the war began. 

Biden also announced $100 million in support “for humanitarian assistance in Gaza and the West Bank,” saying the money will help “support over 1 million displaced and conflict-affected Palestinians.”

“The Palestinian people are suffering greatly as well, and we mourn the loss of innocent Palestinian lives like the entire world,” Biden said in Tel Aviv. “The people of Gaza need food, water, medicine and shelter.” @evystadium reports:",17316,817
Cylox0tCm5X,2023-10-19 17:03:40,GraphVideo,"Just Stop Oil protesters attempted to stop the transfer of asylum seekers back onto a controversial accommodation barge.

The Bibby Stockholm housed 39 asylum seekers in Dorset, England earlier this summer but was evacuated after four days following the discovery of legionella bacteria in the water supply. 

Footage shows chaotic scenes as climate protesters attempt to block the path of the coach, but the bus continues on and pushes through their cordon.

While they were on board the barge, asylum seekers wrote an open letter claiming that some people fell ill and one attempted suicide. “Some of us displayed symptoms of legionnaires’ disease, but no one responded to us,” they wrote.

The Home Office has issued guidance saying that support will be terminated for asylum seekers who “fail to take up the offer of accommodation on the vessel.”

“People coming to the UK must be met with common humanity, and not housed in prison ships. Not on our watch,” a statement from Just Stop Oil read. 

“We are taking action today to show love and solidarity with all people coming to this country.” 

#juststopoil #juststopoilprotest #england #asylumseekers #refugees #dorset #dorsetcoast #bibbystockholm",10459,521
CylXrApv7XO,2023-10-19 14:34:04,GraphVideo,"Footage shows the moment a Los Angeles Police Department (LAPD) vehicle strikes another officer running across the street.

The officer driving the cruiser was speeding down the roads of Sun Valley, Los Angeles on October 13 responding to reports of a stolen black pickup truck.

A passenger in the car can be heard shouting “heads up” before the driver hits a fellow officer, sending him flying across the street. Within minutes the injured officer manages to get back up on his feet. 

“We were in pursuit of a stolen vehicle when an officer was struck at the termination sustaining non-life threatening injuries,” Captain Kelly Muniz of the LAPD said in a statement. 

“We are thankful our officer was not seriously injured in this accident.”",30496,2394
CylCKOzMcFr,2023-10-19 11:26:11,GraphVideo,"Liverpool star Mohamed Salah has said “humanity must prevail” in an appeal posted on social media addressing the Israel-Hamas war. 

In the video, the Egyptian forward called on world leaders to “prevent further slaughter of all innocent souls” and for immediate help for the people of Gaza.

“The escalation in recent weeks is unbearable to witness,” he said. “All lives are sacred and must be protected. The massacres need to stop. Families are being torn apart.”

In the video, Salah references the explosion at Al-Ahli Arab Baptist Hospital in Gaza on Tuesday October 17 that Palestinian officials said killed at least 500 people. 

While Palestinian officials in Gaza, governed by Hamas since 2007, said an Israeli airstrike hit the hospital, Israel said that the explosion was caused by a misfired rocket launched by Palestinian militants. US President Joe Biden and other US officials have said initial investigations back Israel’s version of events.

The Gaza Health Ministry said 3,478 people have been killed by Israeli airstrikes since the latest war began. The strikes were launched in response to more than 1,400 people being killed in multiple attacks by Hamas fighters on Saturday October 7.

Salah has made a “significant” donation to the Egyptian Red Crescent, confirmed by the charity’s executive director. 

“It’s true, Mohamed Salah donated to the Red Crescent to support the people affected by the Israeli bombing in Gaza,” Rami Al-Nazer told the Egyptian publication Youm7.",15389,670
CyjDAxKi7sm,2023-10-18 16:55:12,GraphVideo,"A blast at the Al-Ahli Arab Baptist Hospital in Gaza that Palestinian officials said killed at least 500 people has provoked outrage and condemnation around the world. While Palestinian officials in Gaza, governed by Hamas since 2007, said an Israeli airstrike had hit the hospital, Israel said that the explosion was caused by a misfired rocket launched by Palestinian militants.

“According to intelligence information from a number of sources we have, Islamic Jihad terrorist organi[s]ation is responsible for the failed rocket launch that hit the hospital,” the IDF posted in a statement on X, formerly known as Twitter.

“The entire world should know: It was barbaric terrorists in Gaza that attacked the hospital in Gaza, and not the IDF,” said Prime Minister Benjamin Netanyahu on X. “Those who brutally murdered our children also murder their own children.” Mai Alkaila, the health minister of the Palestinian Authority – which does not govern in Gaza but in areas of the Israeli-occupied West Bank – accused Israel of carrying out a “massacre.” Palestinian Islamic Jihad has denied the blast was caused by one of its misfired rockets.

While the blast triggered angry protests throughout the Middle East, where leaders blamed Israel for the bloodshed, Western leaders appeared to give greater credence to Israel’s account and called for more clarity over what had occurred. Protests also took place in Western cities.",33476,2485
CyiwDmuLvxl,2023-10-18 14:09:31,GraphVideo,"Scotland’s First Minister Humza Yousaf, who has family members trapped in Gaza, wants world leaders to join a global effort to help refugees from Gaza. 

Speaking at the Scottish National Party conference, Yousaf called on the UK government to urgently create a refugee resettlement scheme for people in Gaza who are able to leave.

Yousaf’s brother-in-law is a doctor in Gaza and has told him about the difficult decisions needed to be made on who to treat under the intense circumstances. 

#scotland #firstminister #humzayousaf #gaza #refugee #resettlement #worldleaders #refugeesupport #refugeeprogramme #snp #palestinian #uk #ukgovernment",63550,2705
